idx,class,conversation
0,일반 대화,"엄마 강아지 심장사상충 약 다 먹었어?
아직 있어
얼마나 있는데?
올해 거까지는 있어
관절약은?
예비로 사놓은 거 있어
종합 영양제는?
다 먹어 가서 하나 사야 돼
알겠어. 내일 주문할게
고마워"
1,일반 대화,"파이어족이 뭐야?
저번에 말해줬었는데
까먹었어
신조어라 까먹었나 보네
최근에 생긴 말이니?
응. 최근 들어 화제가 되고 있지
도대체 뭐야?
2, 30대에 조기 은퇴를 꿈꾸는 사람들을 칭하는 말이야
그랬구나
응. 까먹으면 또 물어봐"
2,일반 대화,"연애할 때 자주 보지 않아?
우리 장거리라서 주말 밖에 못 봐
헉 힘들겠다 장거리연애…
주말 한 주 라도 일있으면 2주 만에 보네?
응 맞아 얼마나 길게 느껴지는지
헉 나도 장거리 해봐서 그 기분 알지
얼마나 장거리 였는데?
그때 그 미국 유학간 남자친구?
응 맞아. 지구 반대편이라 너무 힘들었어
헉 얼마나 만났어?
와 진짜 힘들었겠다
오래 못 만났어… 한 1년정도?
헉 그래도 길게 만난 편 아니야?
그러게 그렇게 멀리 있는데도
미국 가기 전 기간 포함해서 그정도야"
3,일반 대화,"팀장님이 맨날 찌개먹자 해서 괴로워
점심마다 먹으면 나트륨 쌓이겠다
자율 배식하거나 도시락 가능한 회사도 많다던데
내 친구도 회사에 샐러드 싸서 다니더라
와 그 친구 부지런하다
오 다이어터들은 회사에서 그렇게 배려해주면 좋지
응 도시락 싸기는 귀찮지만 그래도 내가 먹고싶은거니까
자유롭게 먹을 수 있네
나는 근데 도시락 쌀 자신이 없다
여간 귀찮은게 아니긴해
솔직히 출근 전에 얼마나 바쁜데, 그치?
10분이라도 더 자야는데 도시락이라니
점심시간의 자유와 맞바꾼 아침시간
과연가치있는 것일까?
흠 그부분이 좀 고민되네"
4,일반 대화,"카카오 웹툰이랑 네이버 웹툰 중에 뭐가 더 재밌어?
나는 네이버 웹툰만 봐.
나는 두 개다 보는데 둘 다 재밌어.
네이버 웹툰에는 뭐가 제일 재밌어?
나는 '일렉시드'가 제일 재밌더라.
나는 엄청 많은데 한 가지 골라라고 하면 '참교육'을 좋아해.
우와, 나 두 개다 보는 거야.
카카오 웹툰에는 뭐가 재밌어?
나는 '나 혼자만 레벨 업'이 제일 재밌는 거 같아.
그거 엄청 유명하던데.
나도 그거 엄청 재밌다고 들어봤어.
다들 한 번 보면 빠져나오질 못할 거야."
5,일반 대화,"수상스키 타본 사람 있어?
나는 전에 해외여행 갔을 때 한번 타봤어.
나도 타본 적 있어.
수상스키 타봤는데 나무 재밌는 것 같아.
나는 처음에 탈 때 무서웠는데.
나도 처음에는 무서웠었어.
나는 바다를 가르면서 타는 게 너무 좋아.
바다에서 운전하는 것 같아서 기분 좋긴 해.
파도치는 걸 넘으면 스릴 넘쳐.
다음 주에 또 타야겠어.
나도 같이 타러 가자.
재밌겠는데 나도 카러 가면 안 될까?"
6,일반 대화,"고양이 키우기 게임 알아?
이젠 모바일로도 반려동물을 키우는 구나.
게임으로 대리만족 하는 거지.
만족감이 좀 생겨?
야옹 거리는 게 귀엽기는 해.
유료 게임이야?
아니 무료 게임인데, 유료로 할 수도 있어.
아이템을 유료로 구매해?
아니 다른 고양이 캐릭터를 얻으려면 유료로 해야해.
하다 보면 돈 쓰고 싶을 거 같아."
7,일반 대화,"나는 작년에 예비군 다끝났다
정말? 이제 민방위 인거야?
응 이제는 민방위지 먼가 나이만 먹은거 같아
힘들었지만 군대시절이 그리워?
그냥 추억이지 군대생활은
민방위는 어떤거야?
딱히 설명하기에는 너무 긴 내용이라 나중에 만나면 설명해 줄께
알겠어 민방위여도 아직 군인인거 아니야?
예비군까지만 군인이고 민방위는 민간인 신분이야
그렇구나 내가 모르는것들이 많네"
8,일반 대화,"학창시절에 아기공룡 둘리를 참 좋아했었는데
나도 둘리 영심이 무도사배추도사 이런거 좋아했다
나는 특히 도우너가 귀엽대
요즘처럼 스리디만화는 내취향이 아니야
마이콜은 너무 불쌍하고
그 갬성 알제? 그 연휴마다하는 무슨 장군 그만화 참 재밌게 봤었는데
그래도 토이스토리는 재밌지
아 맞다 토이스토리는 나도 재밌게 본거 같네
머털도사 졸 슬픈 스토리아니가
내 지금 다시보마 그마이 기구한아가 없대이
마지막을 못봐서 모르겠다"
9,일반 대화,"요즘에 좋은 회사가 참 많은데 제 주변엔 없는 것 같아요
좋은 회사라는 것은 어떤 부분을 말씀하시는 걸까요?
요즘 정말 찾기 힘든 것 같아요
회사에 침대도 있고 안마기도 있고 그런 회사도 있더라고요
그런 곳이 있나요? 그렇게 좋은 회사는 저도 가고 싶습니다.
우와 그런곳이 있다니 너무 궁금해요
자유롭게 휴식을 취하면서 일도 하는 세상이 저한테도 왔으면 좋겠어요
TV에서 보던 구글 같은 회사는 제 생애 없겠군요.
저도 언제가 오기를 기도해요
여러분도 그런 회사에 다니고 싶죠?
제가 만들고 싶습니다. 그런 회사.
꿈의 직장이에요"
