idx,class,conversation
0,일반 대화,"나 머리가 아침부터 아프네.
타이레놀 먹어봐
나는 타이레놀 만성이 되어서 안 들어
내성이 생길까 봐 안 먹었어.
그럼 반신욕이라도
반신욕 좋아 나도 자주 해
그럼 수분 빠져서 더 아프지 않을까?
수분 섭취도 해줘야지
물도 많이 먹어주고
물 많이 마셔야 되는데. 잘 안되네.
컵을 옆에 두고 자주 마셔
귀찮지만 어쩔 수 없어"
1,협박 대화,"그 새끼 눈에 띄기만 하면 죽여버릴거니까 그런줄알아.
아니 그래도 대화는 해봐야죠.
뭐하러 그런 쓸데없는 거랑 얘기해.
쓸데없는 게 아니라니까요.
아무튼 나는 그 새끼 인정 못하겠고 보이는 순간 바로 죽여버릴꺼야.
아니 말 좀 들어봐요.
무슨 말을 들어 누구 얘기듣고 그러는 지 몰라도 안되는 건 안되는 거야.
아니 이게 맞는 거라고요.
맞든 아니든 나는 싫고 내가 한 말 장난아니니까 그런줄 알어.
.알겠어요."
2,협박 대화,"니가 그러고도 친구야?
 그러는 너는?
 헛소문 좀 퍼트리지마 
 헛소문이라니? 나는 사실만 말햇어
 내가 엄마가 유부남이랑 바람펴 낳은 자식이란거 사실이긴 한데 그걸 왜 니가 떠들고 다녀?
 아니 친구들이 니네아빠 안보인다고 궁금해하길래 말해줬는데?
너는 입이 문제같아 접착제 붙여 입다물게 붙여버릴까?
 제정신이니? 
 어 나는 제정신이고 제정신 아닌건 너지. 남의 사생활을 까발리고 다닌 거 내가 가만안두려고 조금만 기다려 본드 사와서 입에 칠해줄테니까
 제정신아니구나?"
3,갈취 대화,"나 어제 너가 학원에서 선생님 지갑에서 돈 훔치는 거 봤어.
어.? 아. 
처음에는 그냥 친구니까 넘어가려고 했는데 내 입이 조금 근질근질하네.
어떡하라구.
우리 단톡방에 니가 도둑질 했다고 뿌려볼까? 너무 재미있을 것 같은데 어떻게 생각해?
부탁이야 한 번만 눈 감아줘
그래. 내 입 막으려면 돈 가져와. 100만원.
내가 백만원이 어디있어. 
가져와. 니네 집 잘 살잖아. 내가 가서 좀 털어봐?
아니야. 알았어. 얼른 구해볼게.
소문 쫙나서 학교 학원 얼굴 못 들고 다니게 하는 수가 있어. 눈치있게 돈 빨리 가져와서 내 입을 막는 게 좋을거야."
4,일반 대화,"**아 오늘까지 과제 제출이라며. 했어?
아니 아직 안했어ㅠㅠ
응? 어떡할려고 아직도 안해?
그러게 언제하게?
좀 있다가 제출만 하면돼
이제 곧 오늘 끝나가는데?
언능 제출하고 와!
알겠어 기다려봐 나 제출하고 올게
아니 왜 저렇게 촉박하게 제출할려고 해?
그러게 미리미리 좀 하지ㅠㅠ
그냥 하기만 하면 되는거지 뭐 키키
누나 좀 촉박하게 하지말고 미리미리 좀해"
5,일반 대화,"모바일 게임 하시나요?
네. 머리가 복잡할 때 자주 합니다.
네 가끔해요
어떤 모바일 게임 하시나요?
스도쿠와 같은 퍼즐게임을 즐겨합니다.
쿠키런킹덤이요
모바일 게임의 장점은 뭔가요?
시간과 장소에 제약을 받지 않아서 좋은 것 같아요.
시간이 잘가요
주로 어느시간에 하시나요?
주로 자기 전에 20분 정도 하는 편이에요.
출퇴근 시간이요
현금결재를 하시나요?
아니요. 게임에 현금을 써 본 적은 없습니다.
현금 결제하니 게임할때 즐거워요."
6,협박 대화,"내려.
네?
차에서 내리라고.
왜 그러세요?
니가 아까부터 내 차 가로막았잖아.
아. 네. 죄송합니다.
죄송하면 내려서 몇 대 쳐맞아.
경찰 부르기전에 가 주세요.
경찰 부르면 오기 전에 넌 시체 돼 있을 거야. 
죄송합니다. 비켜주세요. 바빠서 저 가봐야 돼요.
빨리 내리라고. 내려! 골프채 가지고 와서 창문 다 깨기 전에 내리라고."
7,협박 대화,"어이 아가씨 담배하나만 줘봐
담배이름을 말씀해주셔야죠 어떤거요?
척하면 척이지 그것도 몰라? 내가 이 동네를 얼마나 돌아다녔는데
제가 그것까지 알아야 될 필요는 없는거같은데요?
너 여기서 일한지 얼마나됐어? 기껏해봐야 여기서 알바나 하는이 여기 점장 나오라고 해 너 밥줄 끊기게 해줄테니까
아저씨 지금 협박하시는거에요? 경찰불러요?
경찰? 불러 이 아 내가 너 그전에 칼로 찔러서 죽여줄게
죽여요 죽여 어차피 가진것도 없고 죽어봤자 달라질거 하나도 없어요
말하는것봐라 이이
죽여봐요 아저씨 깜빵 갈일만 남은거지"
8,일반 대화,"* 골프 게임 뽑기 나 시켜줘
프렌즈골프 완젼 재밌음 하하
근데 나밖에 안 함 하하
오늘 뽑을 꺼지?
오늘 보석 다 안 모임 하하
그거 현질 한 건 아니겠지
낼이나 돼야 뽑을 수 있을 듯
현질 하면 가만 안 둬 현질 절대 금지
현질 한 번도 암 했어
키키 엉 내 주위에도 근데 그거 너밖에 안 해
마쟈 친구 중에서 내가 압도적 1위
키키 나도 하루 만에 접었잖아 키키
피파 예전에 현질 많이 했는데
너 야구 게임은 접음?
그 돈으로 너 가방 하나 살 듯
그래 이제 현질하면 뒤지는 거얌
응 이제 안 할꺼여"
9,직장 내 괴롭힘 대화,"자네는 회사 놀러다니나?
무슨 말씀이신지.
맨날 그렇게 꾸며입고 화장할 시간에 일을 어떻게 해야할지 고민해보는게 어떤가
제 업무에 문제가 있는 건가요?
단 한 번도 마음에 든적이 없는데 문제가 있는 수준이라고 할 수가 있나
어떤 점이 문제인지 말씀해주시면.
그냥 자네가 우리 팀에 들어온 순간부터가 문제라고 생각하는데 
아니면.제가 다시 배우도록 하겠습니다.
지금 여기 한가한 사람이 자네말고 또 있나? 다들 일하기 바쁜데 누가 자네를 가르치나. 그렇게 독립성이 없어서 도대체 무슨 사회생활을 한다는건지
저는. 배운대로 열심히 하고 있다고 생각하는데.
그럼 자네를 가르친 사람이 문제라 이건가보군. 그럼 둘 다 잘못이겠구만. 뭐 둘다 우리팀에서 나가고 싶다는 건가?"
10,일반 대화,"아 머리카락 졸 얇아졌네...
헐랭 콩을 많이 무야함
이제 슬 관리해야 할 때이지
다들 모발 이식 할 거지? 키키
난 괘나 관리한다고
가발 쓰자
가을 되면 더 많이 빠진다 이상하게
모발 이식 비싸서 완젼
눈 안 좋으면 안경 쓰듯이 가발 쓰는데 인식을 바꾸자던 유투버 봣어
가발이 낫겠니 ... ? 모발 이식 비싸당
돈 많이 벌어야 햄 할려면
요새 잘 나온다더라 가발 하하
두피에 타투하는 사람도 봤어
가발은 하이모 모발 모발~
최대한 관리해보고 안 되면 최후의 방법
엉 진짜 감쪽 같던데
타투 해보고 싶긴 하네 팔에다가
아프지 않을까"
11,직장 내 괴롭힘 대화,"이대리님 이것 좀 같이 합시다
 저는 다른 일이 있어요
 아이 거참 같이 좀 하면 안되나요?
 박대리님은 왜 저만 항상 괴롭혀요?
 괴롭히다니! 대리로서 일 같이 하자는거죠
 전 대리님이랑 같이 하기 싫으니까 다른 사람 알아봐요
 거참 너무 하네. 앞으로 한번 두고 봅시다
 그러든진 말든지요
 회사생활 참 잘하시네요
 댁두요"
12,직장 내 괴롭힘 대화,"길동씨 이거 하셨나요?
아 아니요
왜 맨날 안하시는거에요?
죄송해요 지금 빨리 하겠습니다
처음이라고 봐주는거 없어요 자기가 열심히 해야지
네네

다했나요?
거의다 했습니다
그렇게 느려서 언제다해요 하
죄송합니다"
13,직장 내 괴롭힘 대화,"야 고졸!
네 부르셨습니까.
일로와봐. 너 고졸도 아니고 검정고시라면서. 야 이거 뭐 개천에 용 나왔네.
네.
뭐 할 줄 아는 건 있냐? 회의 자료나 준비해 줘.
네. 바로 하겠습니다.
아니다 아니다. 이건 다른 인턴한테 맡기고 너는 커피나 좀 타줘.
네. 알겠습니다.
너무 주눅들지는 마 회사생활이 뭐 하루아침에 부장되나?
네. 커피 바로 타 오겠습니다."
14,일반 대화,"이번에 가서 무슨 게임 하지...
나는 주루마블 또 할래
보드게임 하나 진짜 가져갈까?
우리 집에 젠가가 있긴 한데...
주루마블에 주 자도 꺼내지마 ㅎ
아주 위험한 게임이야 그거
젠가에 주루마블처럼 적으면 인정 ㅋ
키키 야 그거 좋은 아이디어다
키키 재밌겠노 난 뭐 마시지
너는 무알콜 맥주.
술 안 먹으니까 젤 비싼 음료 사 달라고 해야겠다
안돼 너는 무조건 무알콜 맥주야
키키 무알콜 맥주 상상치도 못했네,
그치? 그건 딱 너를 위한 음료
괜찮다 그거... 분위기 달려~
그럼 내가 젠가에 써서 갈게?"
15,일반 대화,"요새 양세찬 웃기지 않냐? 키키
나는 김수로가 좋더라고
재밌고
김수로?
요새 티비 안 나오던데
옛날에 한 프로 보면 너무 재밌더라구
키키 예전에 꼭지점 댄스로 유명했잖아
그때 진짜 대단했지 열기
예전에 전성기의 너를 보는 거 같아
나도 춤 좀 추고 그랬지
예전 일이지 키키
아 맞다
너 춤 잘 추지
나 비보이 했잖아
너한테 배우고 싶었는데 키키
기억 나지
비보잉 한 거 키키
허리는 지금 괜찮아? 키키
허리는 왜
아무 문제 없는데
너 예전에 비보이 하다가 다쳐서
아 그때 그냥 살짝 다쳤어"
16,기타 괴롭힘 대화,"꺅
재밌지?
재미없어 놀랐잖아
아 새끼가 친구끼리 장난 친 것 가지고
장난도 재밌어야 장난이지 나는 불쾌해
야 니가 오바하는거야
상대방이 재미 없다는데 왜 그래너야말로
아 새끼 너랑 친구 못하것다 쪼잔하게 등신같이
뭐??.
꺼져 새끼야"
17,기타 괴롭힘 대화,"어이 코털
왜
왜? 아놔됐고 너 매점가서 곰보빵 두개에 콜라하나 사와라
나 돈없어
돈없어? 그럼 내가 돈줄께
어
여기 1000원 줄테니까 빵두개 콜라하나 사고 거스름돈 거슬러와라
야 택도없어
야 뒤질래? 쌔벼서라도 갖고와 색키야
야"
18,일반 대화,"남자는 어떤 여자를 좋아하는지 심리가 궁금하지 않아?
무조건 예쁜 여자지.
그건 기본이야. 만나면 재미있는 여자!
오...생각 못 해봤어.
맞아. 그러나 결코 그 남자의 손에 잡히지 않아야 하지.
어떻게?
항상 긴장을 유발하는 거지.
양다리라도 걸쳐야 하는 건가.
...그건 부정행위다.
그러게 자존심이 있지.
마지막으로 가장 중요한 건, 자신과 자기 삶을 더 사랑하는 것!
연애 참 피곤하네."
19,일반 대화,"DP보니까 군대 내 가혹행위가 참 큰일이 아닐수가 없더라
와 그거보고 난정말 너무 화가났어
오빠는 제대해서 다행이네
내가 입대를 하면 바로 부사관인가?
모르겠네 그건
군대에 가서 다시 바로 잡고싶네
나두 다봤어 마지막회까지
아하 그랬구나! 너무 화나는 드라마였어"
